level,level_name,field_of_study,academic_field
bachelor,bachelor,Bachelor Degree in BusinessIT & Management,business
bachelor,bachelor,Bachelor Degree in Mass Communication,mass communication
bachelor,bachelor,"Bachelor Degree, Business Management and Accountancy",business management
bachelor,bachelor,"Bachelor Degree, Business Studies (Marketing)",marketing
bachelor,bachelor,"Bachelor degree, Public Relations/Image Management",management
bachelor,bachelor,"Bachelor Degree; Graduate Diploma, Computer Science Engineering",computer science
bachelor,bachelor,"Bachelor in Arts and Science, Specialisation in Communications Studies, Television production ; Minor in Political Science",performing arts
bachelor,Bachelor,"Bachelor in Business Administration (B.B.A.), International Marketing (TVU)",marketing
bachelor,bachelor,"Bachelor in Business Adminstration, Business Administration",business administration
bachelor,bachelor,"Bachelor in Business Management, Operations Management (Analytics) and Strategic Management",business management
bachelor,bachelor,Bachelor in Communication and Media Studies,media studies
bachelor,bachelor,"Bachelor in Film and Tv, Bachelor in Film and Tv",other
bachelor,bachelor,"Bachelor in Graphic Design , Graphic Design",graphic design
bachelor,bachelor,Bachelor in Mechanical Engineering,other
bachelor,bachelor,"Bachelor in Occupational Safety & Health with honor, safety",other
bachelor,bachelor,"Bachelor in Science (Honours) Management, Marketing/Marketing Management, General",marketing
bachelor,bachelor,"Bachelor in Technology, Information Technology",information technology
bachelor,bachelor,Bachelor of Accountancy and Business (Marketing),accounting
bachelor,bachelor,"Bachelor of Accountancy with Honours, Accountancy ",accounting
bachelor,bachelor,"Bachelor of Accountancy, 2nd Major in Analytics (Accounting)",accounting
bachelor,bachelor,"Bachelor of Accountancy, Accounting",accounting
bachelor,bachelor,"Bachelor of Accountancy, Accounting and Finance",accounting
bachelor,bachelor,"Bachelor of Agriculture, Agronomy",agriculture
bachelor,bachelor,"Bachelor of Applied Engineering, Civil Engineering",civil engineering
bachelor,bachelor,"Bachelor of Applied Science - BASc, Computer and Information Sciences and Support Services",information
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Business, Economics and Social Sciences",business
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Communication Studies",communication studies
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Computer Engineering",other
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Electrical and Electronics Engineering",electronic
bachelor,bachelor,"Bachelor of Applied Science (BASc), Business, Management, Marketing, and Related Support Services",business management
bachelor,bachelor,Bachelor of Arts - BA,other
bachelor,bachelor,"Bachelor of Arts - BA (Honours), Political Science ",political science
bachelor,bachelor,"Bachelor of Arts - BA (Hons), International/Global Studies",other
bachelor,bachelor,"Bachelor of Arts - BA, Art History, French",history
bachelor,bachelor,"Bachelor of Arts - BA, Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Arts - BA, Business Administration, Management and Operations",business administration
bachelor,bachelor,"Bachelor of Arts - BA, Business Management",business management
bachelor,bachelor,"Bachelor of Arts - BA, Business with Human Resource Management",business
bachelor,bachelor,"Bachelor of Arts - BA, Communication and Media Studies",media studies
bachelor,Bachelor,"Bachelor of Arts - BA, Communication and Media, Journalism",media studies
bachelor,bachelor,"Bachelor of Arts - BA, Communications and New Media",media studies
bachelor,bachelor,"Bachelor of Arts - BA, Design and Visual Communications, General",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language and Literature, General",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language and Literature/Letters with an emphasis in Creative Writing",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, History / Minor in Communication Studies",history
bachelor,bachelor,"Bachelor of Arts - BA, International Business",business
bachelor,bachelor,"Bachelor of Arts - BA, International Relations and Affairs",international relations
bachelor,bachelor,"Bachelor of Arts - BA, Journalism",journalism
bachelor,bachelor,"Bachelor of Arts - BA, Language and Communication",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, Linguistics",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, Mass Communication/Media Studies",media studies
bachelor,bachelor,"Bachelor of Arts - BA, Oriental Languages and Cultures",languages
bachelor,bachelor,"Bachelor of Arts - BA, Philosophy",philosophy
bachelor,bachelor,"Bachelor of Arts - BA, Philosophy and Politics",philosophy
bachelor,bachelor,"Bachelor of Arts - BA, Public Relations & Marketing",marketing
bachelor,bachelor,"Bachelor of Arts - BA, Sociology",sociology
bachelor,bachelor,"Bachelor of Arts - BA, Theatre/Theater",other
bachelor,bachelor,"Bachelor of Arts - BA, Tourism & Events Management / Hospitality & Tourism Management",management
bachelor,bachelor,"Bachelor of Arts - BA, Translation",translation
bachelor,bachelor,"Bachelor of Arts - BA(Hons), Business with Tourism",business
bachelor,Bachelor,Bachelor of Arts (B.A.),other
bachelor,bachelor,"Bachelor of Arts (B.A.) Honours, Business and Management",business management
bachelor,bachelor,"Bachelor of Arts (B.A.) in Design Communication, Graphic Design",graphic design
bachelor,bachelor,"Bachelor of Arts (B.A.), Advertising",advertising
bachelor,bachelor,"Bachelor of Arts (B.A.), Advertising and Marketing",marketing
bachelor,bachelor,"Bachelor of Arts (B.A.), Arts, Entertainment, and Media Management",management
bachelor,bachelor,"Bachelor of Arts (B.A.), Behavioral Studies",other
bachelor,bachelor,"Bachelor of Arts (B.A.), Business & Human Resources Management",human resources
bachelor,bachelor,"Bachelor of Arts (B.A.), Business Studies",business
bachelor,bachelor,"Bachelor of Arts (B.A.), Communication and Media Studies",media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Communications",other
bachelor,bachelor,"Bachelor of Arts (B.A.), Computer Science",computer science
bachelor,bachelor,"Bachelor of Arts (B.A.), Creative Writing and English double major with an Environmental Studies minor",creative writing
bachelor,bachelor,"Bachelor of Arts (B.A.), Double Major in Communication and Media Studies, Economics",media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics",economics
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics, Chinese Studies, Philiosophy",economics
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics, Sociology",sociology
bachelor,bachelor,"Bachelor of Arts (B.A.), English Language and Literature, General",literature
bachelor,bachelor,"Bachelor of Arts (B.A.), English Literature (British and Commonwealth)",english literature
bachelor,bachelor,"Bachelor of Arts (B.A.), English Literature/Philosophy",english literature
bachelor,bachelor,"Bachelor of Arts (B.A.), Finance",finance
bachelor,bachelor,"Bachelor of Arts (B.A.), French and German",other
bachelor,bachelor,"Bachelor of Arts (B.A.), International Studies",other
bachelor,bachelor,"Bachelor of Arts (B.A.), International Studies - Economics ",economics
bachelor,Bachelor,"Bachelor of Arts (B.A.), Law and Management Science",law
bachelor,bachelor,"Bachelor of Arts (B.A.), Major in English, Minor in Linguistics",other
bachelor,bachelor,"Bachelor of Arts (B.A.), Marketing",marketing
bachelor,bachelor,"Bachelor of Arts (B.A.), Mass Communication/Media Studies",media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Philosophy and English",philosophy
bachelor,Bachelor,"Bachelor of Arts (B.A.), Psychology",psychology
bachelor,bachelor,"Bachelor of Arts (B.A.), Visual Communications Design",visual communication
bachelor,bachelor,"Bachelor of Arts (BA) Honours, Psychology",psychology
bachelor,bachelor,"Bachelor of Arts (BA), Anthropology",anthropology
bachelor,bachelor,"Bachelor of Arts (BA), Contemporary Music Studies",other
bachelor,bachelor,"Bachelor of Arts (BA), Economics",economics
bachelor,bachelor,"Bachelor of Arts (BA), English Language and Literature, General",literature
bachelor,bachelor,"Bachelor of Arts (BA), Fiction Writing, Creative Nonfiction, Research, Photography",creative nonfiction
bachelor,bachelor,"Bachelor of Arts (BA), Graphic Communications",other
bachelor,bachelor,"Bachelor of Arts (BA), Ho Chi Minh City University of Technology - School of Industrial Management",management
bachelor,bachelor,"Bachelor of Arts (BA), Politics and International Relations",international relations
bachelor,bachelor,"Bachelor of Arts (BA), Psychology, Communications and New Media",psychology
bachelor,bachelor,"Bachelor of Arts (BA), Sociology",sociology
bachelor,bachelor,"Bachelor of Arts (Honors) in Industrial Design, Industrial Design",industrial
bachelor,bachelor,"Bachelor of Arts (Honours), Arts & Social Sciences",other
bachelor,bachelor,"Bachelor of Arts (Hons, Second Upper), English Language",other
bachelor,bachelor,"Bachelor of Arts (Hons), English Language and Literature, General",literature
bachelor,bachelor,"BACHELOR OF ARTS (HONS), JOURNALISM AND MASS COMMUNICATION",journalism
bachelor,bachelor,"Bachelor of Arts & Bachelor of Education, Drama and English",education
bachelor,bachelor,"Bachelor of Arts & Social Sciences, Political Science, Philosophy, English Literature",english literature
bachelor,bachelor,"Bachelor of Arts and Social Sciences (BA) Hons, Psychology",psychology
bachelor,bachelor,"Bachelor of Arts and Social Sciences, Communications and New Media",other
bachelor,bachelor,"Bachelor of Arts and Social Sciences, English Language",other
bachelor,bachelor,Bachelor of Arts in Psychology with Business,business
bachelor,bachelor,"Bachelor of Arts with Honours, International Marketing",marketing
bachelor,bachelor,"Bachelor of Arts with Merit, Political Science",political science
bachelor,bachelor,"Bachelor of Arts, Anthropology and Psychology",psychology
bachelor,bachelor,"Bachelor of Arts, Communication and Media Management",management
bachelor,bachelor,"Bachelor of Arts, Cultural Studies",cultural studies
bachelor,bachelor,"Bachelor of Arts, Economics",economics
bachelor,bachelor,"Bachelor of Arts, Economics and Political Science",economics
bachelor,bachelor,"Bachelor of Arts, English and Journalism",journalism
bachelor,bachelor,"Bachelor of Arts, Mass Communications",mass communication
bachelor,bachelor,"Bachelor of Arts, Political Science",political science
bachelor,bachelor,Bachelor of Business (Honours),business
bachelor,Bachelor,"Bachelor of Business (Honours), Marketing",marketing
bachelor,bachelor,"Bachelor of Business (Hons), Marketing",marketing
bachelor,bachelor,"Bachelor of Business (Marketing), Marketing",marketing
bachelor,bachelor,"Bachelor of Business Admin (Finance), Business Administration and Management, General",business administration
bachelor,bachelor,Bachelor of Business Administration - BBA,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA (Honours), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA (Hons), Business Administration",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA Marketing, with a Second Major in Communications & New Media",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Accounting and Business/Management",accounting
bachelor,bachelor,"Bachelor of Business Administration - BBA, Accounting, Operations Management",operations management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Banking & Finance",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business administration ",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business, Management, Marketing, and Related Support Services",business management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business/Corporate Communications",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Finance and Financial Management Services",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Finance, General",business administration
