level,level_name,field_of_study,academic_field,field_of_study_cleaned,academic_field_cleaned
bachelor,bachelor hons,"BA (Hons), Business Studies",,ba hons business studies,business
bachelor,bachelor hons,"BA (Hons), Business, major in Marketing",,ba hons business major in marketing,marketing
bachelor,bachelor hons,"BA (Hons), Communication and Media",,ba hons communication and media,other
bachelor,bachelor hons,"BA (Hons), European Business",,ba hons european business,business
bachelor,bachelor hons,"BA (Hons), First Class",,ba hons first class,other
bachelor,bachelor hons,"BA (Hons), Graphic Communication",,ba hons graphic communication,other
bachelor,bachelor hons,"BA (hons), Human Geography",human geography,ba hons human geography,human geography
bachelor,bachelor hons,"BA (Hons), Media Studies",media studies,ba hons media studies,media studies
bachelor,bachelor hons,"BA (Hons), Politics & Law",,ba hons politics law,law
bachelor,bachelor hons,"BA (hons), Psychology with Health Studies",,ba hons psychology with health studies,psychology
bachelor,bachelor hons,"BA Business Organisation (Hons.), Business Administration and Management, General",,ba business organisation hons business administration and management general,business administration
bachelor,bachelor,"BA European Languages, Spanish Language and Literature",,ba european languages spanish language and literature,languages
bachelor,bachelor,"BA Honours & BTEC Diploma holder, London University of the Arts (London Institute)",,ba honours btec diploma holder london university of the arts london institute,the arts
bachelor,bachelor hons,"BA Hons, Business & Law",,ba hons business law,business
bachelor,bachelor hons,"BA Hons, Graphic Design",,ba hons graphic design,graphic design
bachelor,bachelor hons,"BA Hons, Linguistics",,ba hons linguistics,other
bachelor,bachelor,"BA in Marketing and the Media, Marketing/Marketing Management, General",,ba in marketing and the media marketingmarketing management general,marketing
bachelor,bachelor,"BA Media Communication, Currently Completing",,ba media communication currently completing,other
bachelor,bachelor,BA Philosophy,,ba philosophy,philosophy
bachelor,bachelor,"BA, Asian Studies",asian studies,ba asian studies,asian studies
bachelor,bachelor,"BA, Business Economics",,ba business economics,business
bachelor,bachelor,"BA, Communication Arts, English",,ba communication arts english,other
bachelor,bachelor,"BA, Communications, PR",,ba communications pr,other
bachelor,bachelor,"BA, Economics",economics,ba economics,economics
